"HDI Rank","Country","2007-2017",""
"Population living below income poverty line, PPP $1.90 a day (%)
SDG 1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day
Dimension: Poverty
Definition: Percentage of the population living below the international poverty line of $1.90 (in purchasing power parity terms [PPP] ) a day.
Source: World Bank (2019a). World Development Indicators database. Washington, DC. Http://data.worldbank.org. Accessed 21 June 2019."
"47"," Oman","..",""
"55"," Palau","..",""
"41"," Qatar","..",""
"36"," Saudi Arabia","..",""
"9"," Singapore","..",""
"98"," Suriname","..",""
"154"," Syrian Arab Republic","..",""
"108"," Turkmenistan","..",""
"63"," Trinidad and Tobago","..",""
"108"," Uzbekistan","..",""
"94"," Saint Vincent and the Grenadines","..",""
"96"," Venezuela (Bolivarian Republic of)","..",""
"","Human Development"," ",""
" ","Very high human development","0.6",""
" ","High human development","2.4",""
" ","Medium human development","17.5",""
" ","Low human development","47.0",""
" ","Developing Countries","14.2",""
"","Regions"," ",""
" ","Arab States","4.6",""
" ","East Asia and the Pacific","2.1",""
" ","Europe and Central Asia","0.6",""
" ","Latin America and the Caribbean","4.1",""
" ","South Asia","17.4",""
" ","Sub-Saharan Africa","44.7",""
" ","Least Developed Countries","36.7",""
" ","Small Island Developing States","21.4",""
" ","Organization for Economic Co-operation and Development","0.8",""
" ","World","11.9",""
"a: Data refer to the most recent year available during the period specified."
""
